Mn_PGMA (g/mol);Xn_PHPMA;fmass:;solid_content_(%);morphology
7200;200;0.8;10.0;V
7200;140;0.736842105;10.0;W
7520;90;0.6328125;10.0;S
7520;115;0.687707641;10.0;W
7520;130;0.713414634;10.0;W
7520;140;0.728323699;10.0;W
7520;150;0.741758242;10.0;W
7520;160;0.753926702;10.0;V
7520;200;0.792951542;10.0;V
7520;95;0.645283019;10.0;S
7520;95;0.645283019;25.0;S
7520;115;0.687707641;25.0;W
7520;130;0.713414634;25.0;W
7520;140;0.728323699;25.0;W
7520;150;0.741758242;25.0;W
7520;160;0.753926702;25.0;V
7520;200;0.792951542;25.0;V
7520;87.28571429;0.625668449;10.0;S
7520;99.875;0.656652361;10.0;W
7520;127.0740741;0.708737864;10.0;W
7520;133.7692308;0.719222462;10.0;W
7520;155;0.747989276;10.0;V
7520;188;0.782608696;10.0;V
7520;266.3333333;0.836065574;10.0;V
8640;90;0.6;10.0;S
8640;140;0.7;10.0;W
8640;220;0.785714286;10.0;V
8800;100;0.620689655;10.0;S
8800;200;0.765957447;10.0;V
8800;200;0.765957447;15.0;V
8800;300;0.830769231;20.0;V
8800;400;0.86746988;10.0;V
8800;800;0.929032258;10.0;V
8800;300;0.830769231;10.0;V
8800;500;0.891089109;10.0;V
8800;600;0.907563025;10.0;V
8800;700;0.919708029;10.0;V
8800;1000;0.942408377;10.0;V
8800;350;0.851351351;10.0;V
10400;30;0.293478261;10.0;S
10400;50;0.409090909;10.0;S
10400;70;0.4921875;10.0;S
10400;100;0.580645161;10.0;S
10400;200;0.734693878;10.0;S
10400;300;0.805970149;10.0;S
10400;100;0.580645161;20.0;S
10400;300;0.805970149;20.0;V
12480;150;0.633802817;10.0;S
12480;175;0.668789809;10.0;S
12480;200;0.697674419;10.0;S
12480;225;0.721925134;10.0;S
12480;250;0.742574257;10.0;S
12480;350;0.801526718;10.0;S
12480;400;0.821917808;10.0;S
12480;500;0.852272727;10.0;S
12480;225;0.721925134;13.0;M
12480;250;0.742574257;13.0;M
12480;275;0.760368664;13.0;M
12480;300;0.775862069;13.0;M
12480;300;0.775862069;15.0;M
12480;275;0.760368664;15.0;M
12480;350;0.801526718;13.0;M
12480;400;0.821917808;13.0;M
12480;200;0.697674419;15.0;M
12480;225;0.721925134;15.0;M
12480;250;0.742574257;15.0;M
12480;350;0.801526718;15.0;M
12480;400;0.821917808;15.0;M
12480;150;0.633802817;17.0;S
12480;200;0.697674419;17.0;M
12480;225;0.721925134;17.0;W
12480;250;0.742574257;17.0;W
12480;275;0.760368664;17.0;M
12480;300;0.775862069;17.0;M
12480;350;0.801526718;17.0;V
12480;400;0.821917808;17.0;V
12480;500;0.852272727;17.0;V
12480;200;0.697674419;20.0;M
12480;225;0.721925134;20.0;W
12480;250;0.742574257;20.0;W
12480;275;0.760368664;20.0;M
12480;150;0.633802817;25.0;M
12480;175;0.668789809;25.0;M
12480;200;0.697674419;25.0;M
12480;225;0.721925134;25.0;W
12480;250;0.742574257;25.0;W
12480;275;0.760368664;25.0;M
12480;300;0.775862069;25.0;M
12480;350;0.801526718;25.0;V
12480;400;0.821917808;25.0;V
12480;500;0.852272727;25.0;V
12480;144.8571429;0.625668449;10.0;S
12480;158.3636364;0.646302251;10.0;S
12480;182;0.677419355;10.0;S
12480;222;0.719222462;10.0;S
12480;312;0.782608696;10.0;S
12480;442;0.836065574;10.0;S
16000;200;0.642857143;10.0;S
17920;250;0.667655786;10.0;S
17920;300;0.706806283;10.0;S
17920;475;0.792400371;10.0;S
17920;600;0.828220859;10.0;S
17920;800;0.865384615;10.0;S
17920;800;0.865384615;13.0;S
17920;300;0.706806283;17.0;S
17920;800;0.865384615;17.0;S
17920;800;0.865384615;20.0;M
17920;300;0.706806283;25.0;S
17920;400;0.762711864;25.0;S
17920;500;0.800711744;25.0;M
17920;600;0.828220859;25.0;M
17920;800;0.865384615;25.0;M
17920;227.3939394;0.646302251;10.0;S
17920;261.3333333;0.677419355;10.0;S
17920;397.0909091;0.761388286;10.0;S
17920;528;0.809264305;10.0;S
17920;634.6666667;0.836065574;10.0;S
